Movie,Year,RunTime,imdb,Genre,votes
Coco,2017,105 minutes,8.4,"Animation, Adventure, Comedy",471975
Office Space,1999,89 minutes,7.7,Comedy,259397
Oldeuboi,2003,101 minutes,8.4,"Action, Drama, Mystery",559165
Black Swan,2010,108 minutes,8.0,"Drama, Thriller",743239
The Girl with the Dragon Tattoo,2011,158 minutes,7.8,"Crime, Drama, Mystery",453773
Silver Linings Playbook,2012,122 minutes,7.7,"Comedy, Drama, Romance",696557
Donnie Darko,2001,113 minutes,8.0,"Drama, Mystery, Sci-Fi",780906
Harry Potter and the Prisoner of Azkaban,2004,142 minutes,7.9,"Adventure, Family, Fantasy",610537
Snatch,2000,104 minutes,8.3,"Comedy, Crime",833467
Jai Bhim,2021,164 minutes,9.4,"Crime, Drama, Mystery",184948
Nightcrawler,2014,117 minutes,7.9,"Crime, Drama, Thriller",519397
Star Wars: Episode VI - Return of the Jedi,1983,131 minutes,8.3,"Action, Adventure, Fantasy",1016662
Reservoir Dogs,1992,99 minutes,8.3,"Crime, Drama, Thriller",986366
The Pianist,2002,150 minutes,8.6,"Biography, Drama, Music",801109
Casino Royale,2006,144 minutes,8.0,"Action, Adventure, Thriller",641769
The Big Lebowski,1998,117 minutes,8.1,"Comedy, Crime",787404
Kill Bill: Vol. 1,2003,111 minutes,8.2,"Action, Crime, Drama",1079059
Casablanca,1942,102 minutes,8.5,"Drama, Romance, War",557435
Brokeback Mountain,2005,134 minutes,7.7,"Drama, Romance",348769
Rogue One,2016,133 minutes,7.8,"Action, Adventure, Sci-Fi",602241
True Romance,1993,119 minutes,7.9,"Crime, Drama, Romance",222347
"Il buono, il brutto, il cattivo",1966,161 minutes,8.8,"Adventure, Western",739414
La vie d'Adèle,2013,180 minutes,7.7,"Drama, Romance",148762
Fargo,1996,98 minutes,8.1,"Crime, Thriller",661467
Dead Poets Society,1989,128 minutes,8.1,"Comedy, Drama",468950
2001: A Space Odyssey,1968,149 minutes,8.3,"Adventure, Sci-Fi",648774
Soul,2020,100 minutes,8.1,"Animation, Adventure, Comedy",305880
Sin City,2005,124 minutes,8.0,"Crime, Thriller",758810
The Notebook,2004,123 minutes,7.8,"Drama, Romance",556107
The Revenant,2015,156 minutes,8.0,"Action, Adventure, Drama",773912
Manchester by the Sea,2016,137 minutes,7.8,Drama,272266
The Perks of Being a Wallflower,2012,103 minutes,8.0,"Drama, Romance",495992
Catch Me If You Can,2002,141 minutes,8.1,"Biography, Crime, Drama",932475
Raiders of the Lost Ark,1981,115 minutes,8.4,"Action, Adventure",940099
Spotlight,2015,129 minutes,8.1,"Biography, Crime, Drama",457337
Captain America: Civil War,2016,147 minutes,7.8,"Action, Adventure, Sci-Fi",747854
V for Vendetta,2005,132 minutes,8.2,"Action, Drama, Sci-Fi",1095161
Logan,2017,137 minutes,8.1,"Action, Drama, Sci-Fi",723239
Finding Nemo,2003,100 minutes,8.2,"Animation, Adventure, Comedy",1012756
Superbad,2007,113 minutes,7.6,Comedy,560181
